Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,21.0,293.15,268.45,0.0,3586.3336,0.0,1.0
1,900,1,21.0,293.7474879377263,268.44062499999995,0.0,1443.542533337363,0.0,0.4025120622736722
2,1800,1,21.0,293.7487023003536,268.4375,0.0,1439.1874238444616,0.0,0.4012976996463635
3,2700,1,21.0,293.7494775959128,268.44062499999995,0.0,1436.4069553305426,0.0,0.4005224040871554
4,3600,1,21.0,293.74975462322294,268.45,0.0,1435.4134429801445,0.0,0.4002453767770362
5,4500,1,21.0,293.7496033178935,268.47265625,0.0,1435.95607436697,0.0,0.40039668210647494
6,5400,1,21.0,293.74900847969684,268.50625,0.0,1438.089362578222,0.0,0.40099152030313695
7,6300,1,21.0,293.747820859388,268.53671875,0.0,1442.3485651958083,0.0,0.40217914061196325
8,7200,1,21.0,293.74586756613456,268.54999999999995,0.0,1449.3537264213105,0.0,0.4041324338654136
9,8100,1,21.0,293.74324235477565,268.54999999999995,0.0,1458.7686101249,0.0,0.40675764522433167
10,9000,1,21.0,293.74018164990827,268.54999999999995,0.0,1469.7453188304685,0.0,0.40981835009171164
11,9900,1,21.0,293.7367375674286,268.54999999999995,0.0,1482.096947548548,0.0,0.41326243257140055
12,10800,1,21.0,293.7329606391751,268.54999999999995,0.0,1495.6422722488678,0.0,0.41703936082490145
13,11700,1,21.0,293.72896176439093,268.5546875,0.0,1509.9835712494391,0.0,0.4210382356090463
14,12600,1,21.0,293.7247830988386,268.5625,0.0,1524.9696599229264,0.0,0.42521690116137734
15,13500,1,21.0,293.7203331517575,268.5640625,0.0,1540.928654658196,0.0,0.4296668482425048
16,14400,1,21.0,293.7155206262841,268.54999999999995,0.0,1558.1879764641951,0.0,0.4344793737158738
17,15300,1,21.0,293.7102897614069,268.5140625,0.0,1576.9476029303771,0.0,0.43971023859307934
18,16200,1,21.0,293.70474357984494,268.4625,0.0,1596.8380602177124,0.0,0.4452564201550331
19,17100,1,21.0,293.69903295224685,268.4046875,0.0,1617.318275849835,0.0,0.4509670477531245
20,18000,1,21.0,293.6933163021541,268.35,0.0,1637.820090157012,0.0,0.4566836978459037
21,18900,1,21.0,293.68763916081514,268.29999999999995,0.0,1658.1802128927857,0.0,0.4623608391848393
22,19800,1,21.0,293.6819550848741,268.25,0.0,1678.5652054250147,0.0,0.46804491512585855
23,20700,1,21.0,293.67627918989234,268.2,0.0,1698.9208583082354,0.0,0.4737208101076362
24,21600,1,22.0,293.67062471217656,268.15,0.0,3586.3336,0.0,1.0
25,22500,1,22.0,294.59504225088176,268.165625,0.0,1990.2636222430292,0.0,0.5549577491182163
26,23400,1,22.0,294.5930393818028,268.25,0.0,1997.4465789173717,0.0,0.556960618197195
27,24300,1,22.0,294.59057003177355,268.309375,0.0,2006.3024918973604,0.0,0.559429968226425
28,25200,1,22.0,294.5865561667262,268.25,0.0,2020.6975509825047,0.0,0.5634438332737659
