Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,23.0,293.15,268.45,0.0,7900.321599999999,0.0,1.0
1,900,1,23.0,295.7856215679032,268.44062499999995,0.0,2878.706797668254,0.0,0.3643784320967711
2,1800,1,23.0,295.79255244102933,268.4375,0.0,2823.9506710030846,0.0,0.35744755897064806
3,2700,1,23.0,295.79593362642504,268.44062499999995,0.0,2797.238218987749,0.0,0.35406637357493764
4,3600,1,23.0,295.7987384399963,268.45,0.0,2775.07928974653,0.0,0.3512615600036497
5,4500,1,23.0,295.80099662327376,268.47265625,0.0,2757.238915623063,0.0,0.3490033767262162
6,5400,1,23.0,295.8026832314728,268.50625,0.0,2743.914168437248,0.0,0.3473167685271506
7,6300,1,23.0,295.8037149847254,268.53671875,0.0,2735.7629859301624,0.0,0.34628501527458866
8,7200,1,23.0,295.80401801648986,268.54999999999995,0.0,2733.3689375358,0.0,0.34598198351011433
9,8100,1,23.0,295.803647203772,268.54999999999995,0.0,2736.298477260161,0.0,0.3463527962279613
10,9000,1,23.0,295.8027140125454,268.54999999999995,0.0,2743.670988064885,0.0,0.34728598745459743
11,9900,1,23.0,295.80125211650903,268.54999999999995,0.0,2755.2204368977877,0.0,0.348747883490944
12,10800,1,23.0,295.7992986210502,268.54999999999995,0.0,2770.6536792668367,0.0,0.35070137894979325
13,11700,1,23.0,295.7969496506604,268.5546875,0.0,2789.2113007750504,0.0,0.3530503493395827
14,12600,1,23.0,295.7941975184225,268.5625,0.0,2810.954030539752,0.0,0.35580248157742744
15,13500,1,23.0,295.7910124803139,268.5640625,0.0,2836.116855906376,0.0,0.35898751968608167
16,14400,1,23.0,295.7873764428021,268.54999999999995,0.0,2864.8427215992324,0.0,0.3626235571978782
17,15300,1,23.0,295.7832838729484,268.5140625,0.0,2897.175339613901,0.0,0.36671612705157486
18,16200,1,23.0,295.7788076976787,268.4625,0.0,2932.5385637825084,0.0,0.3711923023212762
19,17100,1,23.0,295.77403826257404,268.4046875,0.0,2970.2186349596755,0.0,0.3759617374259392
20,18000,1,23.0,295.7690639690778,268.35,0.0,3009.517153312588,0.0,0.38093603092215744
21,18900,1,23.0,295.7639190540765,268.29999999999995,0.0,3050.163636427264,0.0,0.38608094592342473
22,19800,1,23.0,295.758598699502,268.25,0.0,3092.196148592804,0.0,0.3914013004980461
23,20700,1,23.0,295.75312537736687,268.2,0.0,3135.4371536801787,0.0,0.39687462263310636
24,21600,1,23.0,295.7475223333907,268.15,0.0,3179.703003030942,0.0,0.4024776666092862
25,22500,1,23.0,295.742241330501,268.165625,0.0,3221.424624230236,0.0,0.40775866949900325
26,23400,1,23.0,295.73729926921976,268.25,0.0,3260.468497718725,0.0,0.41270073078021596
27,24300,1,23.0,295.7321064869372,268.309375,0.0,3301.4931477497566,0.0,0.4178935130627792
28,25200,1,23.0,295.7260770172121,268.25,0.0,3349.1278976554504,0.0,0.42392298278787166
29,26100,1,23.0,295.7194333463941,268.1,0.0,3401.6150337221347,0.0,0.4305666536058652
30,27000,1,23.0,295.712753631204,267.95,0.0,3454.386931920352,0.0,0.437246368795968
31,27900,1,23.0,295.706051894802,267.79999999999995,0.0,3507.332804775199,0.0,0.4439481051980465
32,28800,1,23.0,295.69933741168586,267.65,0.0,3560.379380769925,0.0,0.4506625883141169
33,29700,1,23.0,295.6926180632642,267.5,0.0,3613.464394243448,0.0,0.45738193673577143
34,30600,1,23.0,295.68600443417296,267.35,0.0,3665.7141910074247,0.0,0.4639955658270196
35,31500,1,23.0,295.69814086745896,267.2,27.29235011312217,3569.83246497106,4.150390625000002,0.45185913254101706
36,32400,1,23.0,295.7295947658764,267.04999999999995,90.1962669683258,3321.336551899448,13.901041666666671,0.4204052341235638
37,33300,1,23.0,295.7628528373292,266.9859375,160.2520503393665,3058.587091626611,25.20117187500001,0.38714716267077165
38,34200,1,23.0,295.782735764565,267.0625,209.0,2901.5055721142926,34.0,0.3672642354349591
39,35100,1,23.0,295.79103489778527,267.2328125,237.43024132730017,2835.939750673088,40.31640625,0.3589651022147109
40,36000,1,23.0,295.797628282571,267.45,265.28984414278534,2783.849890433267,46.395833333333336,0.35237171742898
41,36900,1,23.0,295.8023597077381,267.7494318181818,292.25452488687785,2746.470109986778,51.52734375,0.34764029226187176
42,37800,1,23.0,295.80627991263066,268.1318181818182,318.0,2715.4992305977257,55.0,0.34372008736932
43,38700,1,23.0,295.8126165255154,268.4982954545454,342.87680288461536,2665.437950953482,57.228515625,0.33738347448456807
