Unnamed: 0,seconds of the day,day of the year,roomTempUpperSetpoint,thermalZone.TAir,weaBus.TDryBul,weaBus.HDirNor,totalHeatingPower.y,weaBus.HDifHor,u
0,0,1,19.0,293.15,265.95,0.0,0.0,0.0,0.0
1,900,1,19.0,291.92723788496806,265.86647727272725,0.0,1421.6668157041468,0.0,0.22276211503191234
2,1800,1,19.0,291.92600549152274,265.8272727272727,0.0,1429.531945126413,0.0,0.22399450847723304
3,2700,1,19.0,291.9254293878512,265.8494318181818,0.0,1433.2086361658585,0.0,0.22457061214879556
4,3600,1,19.0,291.9256864464738,265.95,0.0,1431.5680891932257,0.0,0.2243135535262013
5,4500,1,19.0,291.9267465446556,266.13056818181815,0.0,1424.8025473672649,0.0,0.22325345534437702
6,5400,1,19.0,291.92822761798675,266.35272727272724,0.0,1415.3503440327006,0.0,0.2217723820132278
7,6300,1,19.0,291.9296513184769,266.5735227272727,0.0,1406.2642939113043,0.0,0.22034868152309173
8,7200,1,19.0,291.9305478877186,266.75,0.0,1400.5423930452232,0.0,0.21945211228137396
9,8100,1,19.0,291.9309784247564,266.8890625,0.0,1397.7947076073965,0.0,0.21902157524357338
10,9000,1,19.0,291.9312818380416,267.0225,0.0,1395.8583253868223,0.0,0.21871816195840668
11,9900,1,19.0,291.93139363168603,267.1446875,0.0,1395.1448588509222,0.0,0.2186063683139423
12,10800,1,19.0,291.9312500995791,267.25,0.0,1396.0608801116512,0.0,0.21874990042090306
13,11700,1,19.0,291.9308949237787,267.3425,0.0,1398.3276104714723,0.0,0.21910507622129669
14,12600,1,19.0,291.9303733015204,267.4266666666666,0.0,1401.6566013766712,0.0,0.21962669847960115
15,13500,1,19.0,291.9296304666088,267.4975,0.0,1406.3973704396892,0.0,0.22036953339119236
16,14400,1,19.0,291.9286121720964,267.54999999999995,0.0,1412.8961214354467,0.0,0.2213878279035839
17,15300,1,19.0,291.92728857055965,267.58124999999995,0.0,1421.3433404867128,0.0,0.22271142944032365
18,16200,1,19.0,291.92575686902813,267.6,0.0,1431.1186527682105,0.0,0.2242431309718427
19,17100,1,19.0,291.9241533102086,267.61875,0.0,1441.3525579383142,0.0,0.22584668979135358
20,18000,1,19.0,291.922614346773,267.65,0.0,1451.1742156591126,0.0,0.22738565322697468
21,18900,1,19.0,291.9212048320224,267.7,0.0,1460.1697324546603,0.0,0.22879516797758015
22,19800,1,19.0,291.91981199438607,267.7583333333333,0.0,1469.0588159819556,0.0,0.23018800561391117
23,20700,1,19.0,291.91830266877827,267.8125,0.0,1478.6913252189631,0.0,0.2316973312217101
24,21600,1,20.5,291.91654409143695,267.85,0.0,6381.995499999999,0.0,1.0
25,22500,1,20.5,293.30850434400924,267.875,0.0,2179.423739802457,0.0,0.34149565599074105
26,23400,1,20.5,293.30770213180165,267.9,0.0,2184.543454501332,0.0,0.3422978681983295
27,24300,1,20.5,293.3067958877567,267.92499999999995,0.0,2190.3270999179576,0.0,0.34320411224325653
28,25200,1,20.5,293.3057904613294,267.95,0.0,2196.743726852555,0.0,0.3442095386705546
29,26100,1,20.5,293.3046905988794,267.975,0.0,2203.7630440591947,0.0,0.3453094011205735
30,27000,1,20.5,293.3035009386571,268.0,0.0,2211.355450244318,0.0,0.346499061342854
31,27900,1,20.5,293.302226006822,268.025,0.0,2219.4920594790856,0.0,0.3477739931780093
32,28800,1,20.5,293.3012335631152,268.04999999999995,0.0,2225.825830749656,0.4285714285714286,0.3487664368847731
33,29700,1,20.5,293.30100946981673,268.05625,0.0,2227.255993172075,2.169642857142857,0.34899053018324366
34,30600,1,20.5,293.3021937914797,268.04166666666663,0.0,2219.697657648593,6.0,0.3478062085202964
35,31500,1,20.5,293.30453956939107,268.03125,0.0,2204.7269135741226,11.377833104395606,0.3454604306089095
36,32400,1,20.5,293.3074455916153,268.04999999999995,0.0,2186.1806928161363,17.114697802197803,0.34255440838467166
37,33300,1,20.5,293.3111698502086,268.13398437499995,0.0,2162.4124912328048,23.0442135989011,0.33883014979136306
38,34200,1,20.5,293.3155194516257,268.2739583333333,0.0,2134.653354562325,29.0,0.33448054837430163
39,35100,1,20.5,293.32001204583963,268.42695312499995,0.0,2105.9816385055246,34.95975961538461,0.3299879541603445
40,36000,1,20.5,293.3242367874217,268.54999999999995,0.0,2079.01935674022,40.97923076923077,0.3257632125782947
41,36900,1,20.5,293.3279877815512,268.629921875,0.0,2055.080529085108,47.00908653846154,0.3220122184487765
42,37800,1,20.5,293.3315230538401,268.694375,0.0,2032.518437246072,53.0,0.3184769461598762
43,38700,1,20.5,293.3340696764824,268.761640625,0.0,2016.2659030031737,57.760625,0.31593032351764805
44,39600,1,20.5,293.335533977876,268.85,0.0,2006.9207380979608,60.99,0.31446602212395186
45,40500,1,20.5,293.3373332614528,268.985234375,0.0,1995.437718407864,63.974375,0.3126667385471933
46,41400,1,20.5,293.3403130604587,269.155625,0.0,1976.420654561218,68.0,0.30968693954127957
47,42300,1,20.5,293.352442275356,269.323203125,1.921875,1899.012059668118,80.61732954545454,0.2975577246439798
48,43200,1,20.5,293.3742424796189,269.45,6.375000000000001,1759.8832541632844,102.00454545454544,0.2757575203810916
49,44100,1,20.5,293.39577292691314,269.532734375,11.390625000000004,1622.4760364183717,122.38948863636364,0.2542270730868381
50,45000,1,20.5,293.40765148725603,269.60187499999995,15.0,1546.6671177635485,132.0,0.24234851274394487
